date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:20	136/136	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Mar%202020%2006:25:21%20GMT	https://covid.apollo247.com/robots.txt		(from )
12:25:20	6474/6474	---MCZ	200	added ('OK')	text/html	etag:W/%22194a-17105f2e472%22	https://covid.apollo247.com/	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/index.html	(from )
12:25:21	40454/40454	---M--	200	added ('OK')	image/jpeg	etag:W/%229e06-17105f2e476%22	https://covid.apollo247.com/static/assets/images/og.jpg	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/images/og.jpg	(from https://covid.apollo247.com/)
12:25:21	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:W/%2247e-17105f2e476%22	https://covid.apollo247.com/static/assets/images/favicon.ico	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/images/favicon.ico	(from https://covid.apollo247.com/)
12:25:22	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2024%20Mar%202020%2006:25:24%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/www.googletagmanager.com/gtm.25445.delayed	(from https://covid.apollo247.com/)
12:25:23	7372/7372	---MCZ	200	added ('OK')	text/css	etag:W/%221ccc-1710293fe9d%22	https://covid.apollo247.com/static/assets/css/main.min.css	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/css/main.min.css	(from https://covid.apollo247.com/)
12:25:24	128769/128769	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2024%20Mar%202020%2006:25:26%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/connect.facebook.net/en_US/fbevents.js	(from https://covid.apollo247.com/)
12:25:24	3902/3902	---M--	200	added ('OK')	image/svg+xml	etag:W/%22f3e-1710293fea9%22	https://covid.apollo247.com/static/assets/images/logo.svg	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/images/logo.svg	(from https://covid.apollo247.com/)
12:25:24	78582/78582	---M-Z	200	added ('OK')	application/javascript	etag:W/%22132f6-vZTvynlTCx+neaHVuqBroNFAAYs%22	https://cdn.jsdelivr.net/vue/latest/vue.min.js	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/cdn.jsdelivr.net/vue/latest/vue.min.js	(from https://covid.apollo247.com/)
12:25:25	22545/22545	---MCZ	200	added ('OK')	application/javascript	etag:W/%225811-17102947df9%22	https://covid.apollo247.com/static/assets/js/main.min.js	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/js/main.min.js	(from https://covid.apollo247.com/)
12:25:25	327/327	---MCZ	200	added ('OK')	text/css	etag:W/%22147-1710293fe9d%22	https://covid.apollo247.com/static/assets/css/reset.css	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/css/reset.css	(from https://covid.apollo247.com/static/assets/css/main.min.css)
12:25:26	143/143	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Mar%202020%2006:25:28%20GMT	https://covid.apollo247.com/POST	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/POST	(from https://connect.facebook.net/en_US/fbevents.js)
12:25:27	5913/5913	---MCZ	200	added ('OK')	text/css	etag:W/%221719-1710293fea5%22	https://covid.apollo247.com/static/assets/font/stylesheet.css	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/stylesheet.css	(from https://covid.apollo247.com/static/assets/css/reset.css)
12:25:28	48168/48168	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22bc28-1710293fea1%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueMedium.eot	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueMedium.eot	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:28	48168/48168	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22bc28-1710293fea1%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueMedium.eot?	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueMediumd41d.eot	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:28	18228/18228	---M--	200	added ('OK')	font/woff2	etag:W/%224734-1710293fea5%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueMedium.woff2	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueMedium.woff2	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:28	23360/23360	---M--	200	added ('OK')	font/woff	etag:W/%225b40-1710293fea5%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueMedium.woff	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueMedium.woff	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:29	47880/47880	---M--	200	added ('OK')	font/ttf	etag:W/%22bb08-1710293fea5%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueMedium.ttf	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueMedium.ttf	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:29	40346/40346	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%229d9a-1710293fe9d%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBlackCond.eot	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBlackCond.eot	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:30	57457/57457	---M--	200	added ('OK')	image/svg+xml	etag:W/%22e071-1710293fea5%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueMedium.svg	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueMedium.svg	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:30	40346/40346	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%229d9a-1710293fe9d%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBlackCond.eot?	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBlackCondd41d.eot	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:31	15908/15908	---M--	200	added ('OK')	font/woff2	etag:W/%223e24-1710293fe9d%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBlackCond.woff2	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBlackCond.woff2	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
